,Unnamed: 0,Unnamed: 0.1,country,totalCases,newCases,totalDeaths,newDeaths,totalRecovered,activeCases,seriousCritical,casesPerMil,deathsPerMil,totalTests,testsPerMil,population,alpha2,latitude,longitude
47,47,53,Singapore,51809.0,278.0,27.0,0.0,46098.0,5684.0,0.0,8850.0,5.0,1321094.0,225677.0,5853928.0,HN,1.357107,103.8194992
48,48,54,Portugal,50613.0,0.0,1725.0,0.0,35875.0,13013.0,41.0,4965.0,169.0,1561919.0,153216.0,10194240.0,BH,40.0332629,-7.8896263
49,49,55,Romania,48235.0,0.0,2269.0,0.0,26446.0,19520.0,377.0,2509.0,118.0,1154228.0,60032.0,19226813.0,AM,45.9852129,24.6859225
50,50,56,Guatemala,47605.0,0.0,1835.0,0.0,34488.0,11282.0,5.0,2654.0,102.0,148164.0,8259.0,17939645.0,AF,15.6356088,-89.8988087
51,51,57,Poland,45031.0,615.0,1709.0,15.0,33643.0,9679.0,63.0,1190.0,45.0,2186977.0,57790.0,37843204.0,CH,52.215933,19.134422
52,52,58,Nigeria,42208.0,0.0,873.0,0.0,19004.0,22331.0,7.0,204.0,4.0,272748.0,1321.0,206494286.0,KG,9.6000359,7.9999721
53,53,59,Honduras,40944.0,484.0,1259.0,45.0,5281.0,34404.0,59.0,4129.0,127.0,98904.0,9974.0,9916258.0,GH,15.2572432,-86.0755145
54,54,60,Bahrain,40311.0,0.0,144.0,0.0,36920.0,3247.0,41.0,23638.0,84.0,817608.0,479432.0,1705369.0,AZ,26.1551249,50.5344606
55,55,61,Armenia,38196.0,259.0,728.0,5.0,28366.0,9102.0,10.0,12888.0,246.0,161754.0,54579.0,2963691.0,JP,40.7696272,44.6736646
56,56,62,Afghanistan,36471.0,0.0,1271.0,0.0,25389.0,9811.0,31.0,935.0,33.0,88199.0,2262.0,38990237.0,DZ,33.7680065,66.2385139
57,57,63,Kyrgyzstan,35223.0,631.0,1364.0,17.0,23985.0,9874.0,24.0,5392.0,209.0,267718.0,40985.0,6532124.0,IE,41.5089324,74.724091
